UPC,WeekendDate,StoreID,NetSalesForWeek,Units_Sold,Unit_Price,UPC_Sub_Category,UPC_Brand
100000000000,2022/01/02,1,1359.76,353,3.74,Dairy,BrandA
100000000000,2022/01/09,1,96.15,26,3.65,Dairy,BrandA
100000000000,2022/01/16,1,393.27,111,3.57,Dairy,BrandA
100000000000,2022/01/23,1,309.41,86,3.54,Dairy,BrandA
100000000000,2022/01/30,1,136.39,38,3.57,Dairy,BrandA
100000000000,2022/02/06,1,1509.15,437,3.5,Dairy,BrandA
100000000000,2022/02/20,1,382.0,107,3.58,Dairy,BrandA
100000000000,2022/02/27,1,1260.04,341,3.65,Dairy,BrandA
100000000000,2022/03/06,1,867.02,228,3.73,Dairy,BrandA
100000000000,2022/03/20,1,500.11,136,3.62,Dairy,BrandA
100000000000,2022/03/27,1,687.99,189,3.74,Dairy,BrandA
100000000000,2022/04/03,1,1531.62,437,3.61,Dairy,BrandA
100000000000,2022/04/10,1,243.96,69,3.49,Dairy,BrandA
100000000000,2022/04/17,1,803.06,209,3.74,Dairy,BrandA
100000000000,2022/04/24,1,1001.79,260,3.76,Dairy,BrandA
100000000000,2022/05/01,1,1791.78,479,3.77,Dairy,BrandA
100000000000,2022/05/08,1,1119.7,306,3.71,Dairy,BrandA
100000000000,2022/05/15,1,201.45,54,3.65,Dairy,BrandA
100000000000,2022/05/22,1,1071.11,294,3.72,Dairy,BrandA
100000000000,2022/06/05,1,1537.4,411,3.71,Dairy,BrandA
100000000000,2022/06/12,1,1247.79,333,3.72,Dairy,BrandA
100000000000,2022/06/19,1,188.79,55,3.47,Dairy,BrandA
100000000000,2022/06/26,1,812.85,218,3.69,Dairy,BrandA
100000000000,2022/07/03,1,283.8,80,3.49,Dairy,BrandA
100000000000,2022/07/10,1,1330.92,388,3.5,Dairy,BrandA
100000000000,2022/07/17,1,1634.59,444,3.58,Dairy,BrandA
100000000000,2022/07/31,1,103.33,28,3.69,Dairy,BrandA
100000000000,2022/08/07,1,1675.35,448,3.65,Dairy,BrandA
100000000000,2022/08/21,1,1494.71,407,3.72,Dairy,BrandA
100000000000,2022/08/28,1,57.83,16,3.53,Dairy,BrandA
100000000000,2022/09/04,1,900.6,246,3.66,Dairy,BrandA
100000000000,2022/09/11,1,1408.9,367,3.8,Dairy,BrandA
100000000000,2022/09/25,1,1644.41,445,3.73,Dairy,BrandA
100000000000,2022/10/02,1,1125.9,312,3.62,Dairy,BrandA
100000000000,2022/10/16,1,726.07,200,3.61,Dairy,BrandA
100000000000,2022/10/30,1,417.5,117,3.57,Dairy,BrandA
100000000000,2022/11/06,1,1517.57,431,3.62,Dairy,BrandA
100000000000,2022/11/13,1,679.74,179,3.8,Dairy,BrandA
100000000000,2022/11/20,1,1179.25,320,3.73,Dairy,BrandA
100000000000,2022/11/27,1,205.75,56,3.62,Dairy,BrandA
100000000000,2022/12/04,1,606.29,168,3.55,Dairy,BrandA
100000000000,2022/12/11,1,1254.59,361,3.5,Dairy,BrandA
100000000000,2022/12/18,1,989.1,270,3.63,Dairy,BrandA
100000000000,2022/12/25,1,1829.76,487,3.79,Dairy,BrandA
100000000000,2023/01/01,1,1186.18,339,3.57,Dairy,BrandA
100000000000,2023/01/08,1,234.84,63,3.73,Dairy,BrandA
100000000000,2023/01/15,1,594.37,156,3.79,Dairy,BrandA
100000000000,2023/01/22,1,1007.38,275,3.76,Dairy,BrandA
100000000000,2023/02/05,1,335.33,94,3.5,Dairy,BrandA
100000000000,2023/02/19,1,1494.97,418,3.56,Dairy,BrandA
100000000000,2023/02/26,1,149.14,43,3.54,Dairy,BrandA
100000000000,2023/03/05,1,1289.25,354,3.54,Dairy,BrandA
100000000000,2023/03/12,1,1779.86,468,3.7,Dairy,BrandA
100000000000,2023/03/19,1,37.03,10,3.68,Dairy,BrandA
100000000000,2023/03/26,1,1060.06,291,3.56,Dairy,BrandA
100000000000,2023/04/02,1,185.77,53,3.58,Dairy,BrandA
100000000000,2023/04/16,1,1321.49,364,3.66,Dairy,BrandA
100000000000,2023/04/30,1,136.12,37,3.7,Dairy,BrandA
100000000000,2023/05/07,1,922.56,260,3.53,Dairy,BrandA
100000000000,2023/05/14,1,1723.86,479,3.52,Dairy,BrandA
100000000000,2023/05/28,1,256.13,71,3.63,Dairy,BrandA
100000000000,2023/06/04,1,344.59,89,3.78,Dairy,BrandA
100000000000,2023/06/11,1,1412.91,384,3.61,Dairy,BrandA
100000000000,2023/06/18,1,898.44,260,3.54,Dairy,BrandA
100000000000,2023/07/02,1,1199.21,306,3.81,Dairy,BrandA
100000000000,2023/07/16,1,344.79,93,3.8,Dairy,BrandA
100000000000,2023/07/23,1,799.24,236,3.48,Dairy,BrandA
100000000000,2023/07/30,1,389.38,106,3.71,Dairy,BrandA
100000000000,2023/08/13,1,1078.8,308,3.59,Dairy,BrandA
100000000000,2023/08/20,1,1733.57,464,3.79,Dairy,BrandA
100000000000,2023/08/27,1,896.11,235,3.8,Dairy,BrandA
100000000000,2023/09/03,1,1167.12,325,3.58,Dairy,BrandA
100000000000,2023/09/10,1,76.24,21,3.61,Dairy,BrandA
100000000000,2023/09/17,1,1111.39,293,3.72,Dairy,BrandA
100000000000,2023/10/01,1,1454.33,405,3.59,Dairy,BrandA
100000000000,2023/10/08,1,738.4,212,3.56,Dairy,BrandA
100000000000,2023/10/15,1,475.19,137,3.5,Dairy,BrandA
100000000000,2023/10/22,1,916.09,262,3.6,Dairy,BrandA
100000000000,2023/10/29,1,1644.32,431,3.72,Dairy,BrandA
100000000000,2023/11/05,1,251.34,70,3.64,Dairy,BrandA
100000000000,2023/11/12,1,1697.95,446,3.81,Dairy,BrandA
100000000000,2023/12/10,1,658.44,184,3.53,Dairy,BrandA
100000000000,2023/12/17,1,1192.18,339,3.48,Dairy,BrandA
100000000000,2023/12/24,1,462.9,129,3.67,Dairy,BrandA
100000000000,2023/12/31,1,1130.41,303,3.66,Dairy,BrandA
100000000000,2024/01/07,1,1211.55,330,3.66,Dairy,BrandA
100000000000,2024/01/14,1,1595.47,440,3.58,Dairy,BrandA
100000000000,2024/01/21,1,809.97,218,3.7,Dairy,BrandA
100000000000,2024/01/28,1,635.75,172,3.78,Dairy,BrandA
100000000000,2024/02/11,1,1140.86,319,3.68,Dairy,BrandA
100000000000,2024/02/18,1,38.8,11,3.49,Dairy,BrandA
100000000000,2024/02/25,1,1066.23,285,3.65,Dairy,BrandA
100000000000,2024/03/03,1,1420.35,395,3.68,Dairy,BrandA
100000000000,2024/03/10,1,1680.35,457,3.73,Dairy,BrandA
100000000000,2024/03/17,1,1625.38,482,3.47,Dairy,BrandA
100000000000,2024/03/24,1,98.23,28,3.58,Dairy,BrandA
100000000000,2024/03/31,1,563.29,156,3.71,Dairy,BrandA
100000000000,2024/04/07,1,1549.86,450,3.48,Dairy,BrandA
100000000000,2024/04/14,1,1681.53,478,3.59,Dairy,BrandA
100000000000,2024/04/21,1,1506.57,413,3.71,Dairy,BrandA
100000000000,2024/04/28,1,988.66,271,3.67,Dairy,BrandA
100000000000,2024/05/05,1,623.33,170,3.75,Dairy,BrandA
100000000000,2024/05/19,1,1727.59,466,3.8,Dairy,BrandA
100000000000,2024/05/26,1,1447.29,395,3.65,Dairy,BrandA
100000000000,2024/06/02,1,559.02,146,3.77,Dairy,BrandA
100000000000,2024/06/09,1,641.22,180,3.58,Dairy,BrandA
100000000000,2024/06/23,1,1580.28,420,3.72,Dairy,BrandA
100000000000,2024/06/30,1,90.56,25,3.66,Dairy,BrandA
100000000000,2024/07/07,1,1502.91,439,3.48,Dairy,BrandA
100000000000,2024/07/21,1,1313.3,350,3.69,Dairy,BrandA
100000000000,2024/07/28,1,503.62,135,3.8,Dairy,BrandA
100000000000,2024/08/04,1,754.31,201,3.72,Dairy,BrandA
100000000000,2024/08/11,1,405.06,104,3.81,Dairy,BrandA
100000000000,2024/08/18,1,65.42,18,3.65,Dairy,BrandA
100000000000,2024/08/25,1,463.42,126,3.74,Dairy,BrandA
100000000000,2024/09/01,1,1607.58,447,3.62,Dairy,BrandA
100000000000,2024/09/08,1,1439.54,372,3.81,Dairy,BrandA
100000000000,2024/09/15,1,496.41,137,3.71,Dairy,BrandA
100000000000,2024/09/22,1,450.02,130,3.52,Dairy,BrandA
100000000000,2024/09/29,1,1346.28,369,3.65,Dairy,BrandA
